CODLOCAL | CODPROD | DESCRLOCAL         | DESCRPROD                                | LOCAL_DEPTH | LOCAL_PATH                                       | LOCAL_PATH_CODES     | MARCA      | NCM      | TOTAL_ESTOQUE      | UNIDADE
101001   | 10247   | ALMOX PECAS        | DISPLAY COM INCLINOMETRO + TORRE         | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 84811000 | 3                  | MM     
101001   | 11425   | ALMOX PECAS        | DISPLAY HYSTER 2098298                   | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | CLARK      | 85318000 | 1                  | MM     
101001   | 6467    | ALMOX PECAS        | DISPOSITIVO ANTIFURTO TANQUE COMBUSTIVEL | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | None     | 1                  | MM     
101001   | 5135    | ALMOX PECAS        | DOBRADICA                                | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 83021000 | 44                 | MM     
101001   | 3654    | ALMOX PECAS        | DOBRADICA GONZO COM ABA                  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 83021000 | 10                 | MM     
101001   | 3653    | ALMOX PECAS        | DOBRADIÇA GONZO SEM ABA                  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 83021000 | 3                  | MM     
101001   | 14072   | ALMOX PECAS        | DOBRADICA NYLON                          | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 83021000 | 4                  | MM     
101001   | 14519   | ALMOX PECAS        | DOBRADIÇA PORTA CADEADO ZINCADO          | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 83021000 | 2                  | MM     
101001   | 3607    | ALMOX PECAS        | DOBRADICA REFORCADA                      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 83021000 | 48                 | MM     
101001   | 3619    | ALMOX PECAS        | DOBRADICA TAMPA CARROCERIA RANDON        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87169090 | 236                | MM     
101001   | 11997   | ALMOX PECAS        | DORMENTE DE MADEIRA EUCALIPTO            | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 44130000 | 120                | MM     
101001   | 3673    | ALMOX PECAS        | DORMENTE DE MADEIRA GARAPA               | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 44130000 | 468                | MM     
